mu_g,k_g,mu_i,k_i
4.5857830489907085,2.953192325962339,4.907350606351515,13.23655464318201
4.336588144946207,2.7343833937406807,4.978907451705852,13.71683794271397
4.530914629513879,2.545850316395732,4.821650438436148,12.77767779419648
3.7057228028708025,3.2683017236648193,4.714880336763807,14.55554745297282
3.7369500260881345,2.9035357223184666,4.8824768247044155,14.961170359315835
4.284410952496904,2.966345997733679,4.8519273401434075,11.804322370136155
4.092712871305149,2.2123094957277,4.795080977879279,12.346189303912384
3.83576936730482,3.5268507986275806,4.7352474903102735,12.848468344504418
4.287059139845396,2.599259173856954,4.8505604102110365,11.846934099427465
3.817312141173092,3.4518878359577436,4.7892321506679085,14.708311977208007
3.817312141173092,3.4518878359577436,4.7892321506679085,14.708311977208007
4.485834820668597,2.468299796178412,4.792003246842777,13.876835934066273
4.485834820668597,2.468299796178412,4.792003246842777,13.876835934066273
4.485834820668597,2.468299796178412,4.792003246842777,13.876835934066273
4.109468807610034,3.0583418023768925,4.866235986002112,12.849427128186095
4.215375487425782,2.4850877696255447,4.833353076317068,12.645069993335948
4.138607746411926,2.3732690210377836,4.836345178025399,14.110005875261345
3.7965934876552674,2.635487667119179,4.816385983964322,14.792565711533681
3.605301601165047,2.9440101108502565,4.764771303547564,15.599317715423968
4.029037705829285,2.634547438811704,4.73617893570208,9.787252521263838
3.865922547732985,2.4088918180015377,4.870467148570009,17.00266455219225
3.8697127392094317,3.275177746573986,4.701122314271717,15.376848196495718
3.8493483396316983,3.4185178913349037,4.855196508420186,14.834627630650562
3.8065945761128703,2.5423478674997972,4.861374765829304,15.04012186294846
4.126692754656379,2.3474805001886883,4.927911675154496,12.067972258720884
3.973279874705525,2.368429375496632,4.679064386265787,11.010710303328484
4.271761137798734,2.789123366422283,4.777385636845495,11.323633561109734
3.9701425189114437,1.83960162431253,4.717623257761718,13.425115905007793
3.5559264337620626,3.4840017280385385,4.9557244784278724,15.509349874504005
4.540346592389334,1.899212401872173,4.777681755442398,12.884280040730202
4.395796868945812,3.1479475813224913,4.947306798224277,14.109500555113206
4.45516075887388,3.153127658801103,4.981299193058733,13.421982403583458
4.227994633272458,2.165393667776138,4.99684792107615,13.528263258147637
4.44306915908169,2.544245243276551,4.802002656844285,14.691196992767567
4.162925128848965,2.889950067028231,4.97519030285918,14.779061746864343
3.7517370154645544,3.1128724302625983,4.865612679331418,12.156702870698313
4.123190177823029,2.166123148998421,4.888075721589496,15.04316246626358
3.840014668890295,2.8847071317153996,4.956642592927242,11.504900098073987
4.183303013982083,1.967584846875858,4.725309845630595,12.9195261495957
3.8413071633511944,2.1369666510136964,4.724792751645778,12.435615305581155
3.9752754560887764,3.0828782540806956,4.820870548764058,13.400269343834445
3.9831617249322466,2.6515128898763503,4.796315077046444,13.568666035382767
4.132831704724377,2.7523395336218504,4.877147281097307,13.575817967596445
4.251128399059209,2.747622458844627,4.814561713303768,11.768750632779714
3.9592235949911903,2.950906781040544,4.824280127970538,11.116901330549565
3.5075066630943956,2.892749708532643,4.773650053703918,14.33211337193862
4.016382546396652,2.2518917863712993,4.778785699772941,14.350524949965148
4.310248890932152,2.771548542791055,4.9622590385532295,15.126570061451787
4.268570835811066,3.389602296370872,4.902684652050873,10.768156287282599
4.024932709001782,2.6196610303558736,4.827870265550346,11.568401176937115
4.093090191488211,2.7540279891560675,4.923859651064436,13.775006202272088
4.093090191488211,2.7540279891560675,4.923859651064436,13.775006202272088
3.851036969382091,2.588816835140644,4.856496045189084,13.400439759352567
3.7026084106449164,4.275021708802429,4.758761187697936,13.232000181879004
3.8941292470800195,3.7059906584734343,4.994244815530043,14.275719398972251
3.8637388683066396,2.181650183593903,4.6416580425061245,13.634652509644487
4.2443303715761855,1.7995812802262325,4.749922829493578,13.396721212118567
4.27248498962977,2.348489510383991,4.81470578884817,12.512579930171958
4.634549811311919,2.597589045423655,4.968313233412035,12.90590780497692
4.10797704012845,3.6361740191372816,4.952573937464159,12.97819463593256
